idspecies,id_sp_region,current_distribution,sourceid
50322,100552,Lower Austria ,""
50322,100556,All regions ,""
50322,100558,"Tipperary, Louth, Dublin and Wexford counties ",""
50322,100563,"England, Wales ",""
50323,100565,"Upper Austria, Lower Austria ",""
50323,100572,"Hof Carmel,Gush Dan,Shfelat Yehuda,Western Negev ",""
50323,100575,Across country ,""
50323,100579,NE/NW Norfolk ,""
50325,100583,Along the Syrian African rift ,""
50325,100584,Across country ,""
50325,100585,"Elvas, Sado valley, Barroca d'alva, Paul das Caniceiras ",""
50325,100586,"Extremadura, Tajo, Guadiana and Guadalaquivir rivers ",""
50327,100591,Genova ,""
50340,100616,Coast and valley of River Maas ,""
50341,100620,E. England ,""
50343,100624,NW and SE England ,""
50344,100625,Heidelberg and several areas ,""
50345,100627,Northern two-thirds ,""
50346,100629,"Upper Austria; Burgenland, Styria ",""
50346,100630,accidental records from all regions ,""
50346,100632,Across Country ,""
50346,100633,1 provinces ,""
50346,100638,Ascania-Nova reserve ,""
50346,100639,3 locations ,""
50348,100644,Antarctica ,""
50349,100646,SE England ,""
50352,100650,"England, Wales, S. Scotland ",""
50353,100651,Eurasia ,""
50357,100661,Across country ,""
50357,100664,S. Finland ,""
50357,100665,"semi-captivity, vagrant ",""
50357,100666,Schleswig-Holstein popln. Among others ,""
50357,100667,S. and N. Ireland ,""
50357,100668,Northern and Central Italy ,""
50357,100669,Cagliari ,""
50357,100673,Across country ,""
50357,100674,Unknown ,""
50357,100675,Lake Ladoga? ,""
50357,100676,Across country ,""
50357,100679,"Across England, Wales,  S. Scotland ",""
50358,100681,"Upper Austria, Salzburg, Carinthia, Vorarlberg, Burgenland ",""
50358,100682,Across country ,""
50358,100687,"E., NW, and Midlands ",""
50361,100690,1 locality in N. England ,""
50364,100697,"Upper Austria, Styria ",""
50364,100701,Schleswig-Holstein among other areas ,""
50364,100702,Gush Dan ,""
50364,100706,"E., W. England and Midlands ",""
50365,100707,East Central Corsica ,""
50365,100712,Extinct ,""
50365,100714,Extinct ,""
50366,100716,"Yarkon Park, Tel Aviv ",""
50368,100718,Sao Jorge; Faial; Sao Miguel; Terciera; Pico ,""
50369,100719,Sao Miguel and Terceira ,""
50372,100724,"Bedfordshire, Buckinghamshire, Hertfordshire ",""
50373,100725,?Upper Austria ,""
50373,100728,"Breckland; Thetford forest, Norfolk; Suffolk; South Downs in Hampshire and Sussex, Galloway in Scotland, Anglesey in Wales (Lever 1977) ",""
50374,100729,"Istria, Posavina ",""
50374,100731,"Sologne, Landes ",""
50374,100734,Northern Italy ,""
50376,100742,"widespread, in evry district (Bundesland) ",""
50376,100752,Rhine Valley ,""
50378,100763,Eilat and Arava valley ,""
50382,100775,Across Country ,""
50382,100778,Northern and Central Italy ,""
50383,100787,E. England ,""
50384,100789,Across country ,""
50384,100793,Across country ,""
50384,100794,Across country ,""
50384,100796,western Hungary ,""
50384,100798,Northern and Central Italy ,""
50384,100799,"Oristano, Cagliari ",""
50384,100800,Trapani ,""
50384,100801,Rhine Valley ,""
50384,100802,Across country ,""
50384,100807,Across country ,""
50384,100809,Across country ,""
50388,100814,Across country ,""
50390,100818,"Toscana, along the Po river, Rome ",""
50391,100823,Algarve and Lisboa ,""
50393,100833,"Barroca d'Alva, Sado estuary, Boquilobo and Tornada marshes,  ",""
50399,100845,Zannone Island ,""
50404,100857,unknown ,""
50412,100870,"Gush Dan,Sharon ",""
50415,100874,Bearn ,""
50418,100882,Cote d'Azur ,""
50418,100883,Sea of Gallilee south to Eilat ,""
50421,100888,"?Upper Austria, Lower Austria, Burgenland ",""
50423,100892,"Upper Austria, Lower Austria, Burgenland, Vienna ",""
50110,100268,widespread ,""
50111,100269,midland lakes ,""
50112,100270,"Lough Derg, Co Clare; Lough Corrib, Co Galway. ",""
50115,100273,"Cork Harbour, Co Cork; Belfast Lough, Co Antrim. ",""
50119,100277,"Clare Island, Co Mayo. ",""
50121,100279,all Irish coasts. ,""
50125,100283,"widespread, midland lakes ",""
50130,100288,widespread ,""
50131,100289,no recent record ,""
50137,100295,"Furnace, Co Mayo; Helvick Head, Co Waterford; Newport, Co Mayo. ",""
50140,100298,"Enniskillen, Co Fermanagh; Carrick on Shannon and  Boyle, Co Roscommon; Athlone, Co Westmeath; Limerick, Co Limerick. ",""
50141,100299,widespread ,""
563,100300,"Loughkeelan Co Down, lake near Ballydargan, Co Down and in the South Slob Co Wexford ",""
50150,100308,"Lady's Island Lake, Co Wexford; Rostellan Lough, Co Cork; Durnish Lough, Co Sligo. ",""
50152,100310,no recent records ,""
50160,100318,no recent record ,""
50164,100322,no recent record ,""
50166,100324,"Malahide Estuary, Co Dublin; Carlingford Lough, Co Louth. ",""
50167,100325,"no recent record, ",""
50168,100326,"Fairywater and River Strulke, Co Tyrone; , R. Foyle, Co Derry;  Lough Ennell, Co Westmeath. ",""
50175,100333,"River Shannon, in midlands; Lough Corrib, Co Galway. ",""
50177,100335,no recent record ,""
50178,100336,widespread ,""
50183,100341,widespread ,""
50184,100342,"west and south-west coasts, no recent record ",""
1152,100343,midlands and north. ,""
50188,100346,no recent record ,""
50189,100347,no recent record ,""
50190,100348,no recent record ,""
1122,100354,"Ballinakill Lough, Co Galway. ",""
50202,100360,"River Boyne, Co Meath; Shannon River, Co Rosscommon ",""
50210,100368,widespread ,""
50211,100369,no recent record ,""
50212,100370,no recent record ,""
624,100371,"Invermore Lough, Co Galway; Lough Bofin, Co Longford; Lough Lua, Co Cork; Dunbeg Lake, Co Clare; Lough Derg near Portumna and Invermore Lough Co Galway; Lough Mask, Co Mayo; Lough Bofin, Co Leitrim. ",""
50216,100374,no recent records ,""
50220,100378,"Cork Harbour and  Rosscarberry, Co Cork; Belfast Lough, Co Antrim. ",""
50221,100379,south and east coasts ,""
50222,100380,no recent record ,""
50223,100381,widespread ,""
50226,100384,south and west coasts ,""
50239,100397,no recent record ,""
50241,100399,widespread ,""
50242,100400,"Bantry Bay, Co Cork. ",""
50243,100401,widespread. ,""
50246,100404,no recent record ,""
50248,100406,widespread in midlands and north. ,""
50249,100407,no recent record ,""
50251,100409,"Bunaveela Lake, Burrishoole River, Co Mayo; Corrib Catchment, Co Galway; Blackwater, Co Coek; Boyne, Co Meath; Liffey Co Dublin; Loughs Ree and Sheelin in midlands. ",""
50253,100411,"Lough Hyne, Co Cork. ",""
50254,100412,widespread ,""
50260,100418,widespread ,""
50080,100419,widespread ,""
50266,100425,"Lough Erne, Co Fermanagh. ",""
1042,100429,"Upper Lough Erne, Co Fermanagh; Castle Sanderson, Co Cavan; River Shannon, Co Galway; Anoneen Lough and  Round Lake, Co Cavan; Annagheane Lough, Co Monaghan. ",""
50272,100431,no recent records ,""
50276,100435,no recent record ,""
50277,100436,no recent record ,""
50278,100437,no recent record ,""
50280,100439,"widespread, midlands and Northern Ireland ",""
50281,100440,"Loughs Corrib, Co Galway and Lough Erne, Co Fermanagh; may be more widespread, no recent record ",""
50282,100441,"Lough Sheelin, Co Cavan; no recent record. ",""
50284,100443,"Lough Key, Co Rosscommon; Lough Derg, Co Tipperary; Lough Oughter, Co Cavan; Acres Lake and  Lough Allen Canal and Lough Allen, Co Leitrim. ",""
50319,100532,Across region ,""
50322,100561,Northern Spain ,""
50384,100791,Faeroes and Mainland ,""
50384,100792,western Estonia ,""
50384,100795,Northern Greece ,""
50384,100806,northern Serbia ,""
50400,100848,Miemo (Pisa) ,""
50423,100895,"KrÃ¡lovstvÃ­ wood by Grygov, Olomouc district (ZlÃ­n region, central Moravia) ",""
50423,100897,Extinct ,""
50423,100899,Extinct ,""
50423,100901,Extinct ,""
50425,100912,Unknown ,""
50425,100914,Brussels city parks ,""
50425,100920,Tel Aviv area ,""
50425,100921,Northern and Central Italy ,""
50425,100925,isolated breeding records at Loures and at PortimÃ£o  ,""
50425,100928,E. and SW. England ,""
50426,100930,Pardes Hana ,""
50426,100931,"Barcelona,Malaga ",""
50428,100933,"E. England, Midlands, London Area ",""
50429,100940,E. and SW. England ,""
50430,100942,"Norfolk; Lothian; in Scotland north to Orkneys, in England from Northumberland south to Isles of Scilly, Wales, Ireland ",""
50432,100945,"Vorarlberg, Upper Austria, Lower Austria ",""
50432,100946,Across Country ,""
50432,100949,Pays de Loire ,""
50432,100950,N. Germany and other areas ,""
50432,100953,Across England ,""
50432,100955,"Lazio, Campania, Veneto ",""
50432,100964,Across UK ,""
50433,100965,Ein-Gedi ,""
50434,100966,"Palude Brabbia (Varese, Lombardia) ",""
50435,100967,"Palude Brabbia (Varese, Lombardia) ",""
50438,100972,Gran Canaria;Tenerife;La Palma; Gomera;Fuerteventura; Lanzarote ,""
50438,100973,"Funchal, coastal areas ",""
50439,100978,"western negev, central israel ",""
50439,100980,E. England ,""
50442,100984,Extinct ,""
50445,100994,zoo confines ,""
50446,100998,"widespread, in every district (Bundesland) ",""
50446,101001,Across country ,""
50446,101002,Across country ,""
50446,101004,whole country ,""
50446,101006,Across country ,""
50446,101007,Helsinki ,""
50446,101017,Ruggeller Riet ,""
50446,101019,Across country ,""
50446,101022,Across country ,""
50446,101023,"Ostfold, Akershus, Vestfold ",""
50446,101024,Across country ,""
50446,101029,Across country ,""
50446,101033,Across country but lowland areas ,""
50447,101038,E. England ,""
50448,101039,Camargue ,""
50448,101040,Zwillbrocker Venn ,""
50448,101042,2 provinces ,""
50448,101043,"Dutch Delta, Usselmeer ",""
50450,101047,"Northern Sardinia, Asinara island ",""
50453,101055,GolegÃ£ and the Arade river valley Algarve ,""
50453,101057,Siena province ,""
50457,101066,Tel-Aviv ,""
50458,101071,"Longjumeau (foret de pontacarre, 91) ",""
50459,101072,Brussels area parks ,""
50459,101075,Reggio Emilia in Emilio-Romagna ,""
50459,101077,Istanbul and Ankara regions ,""
50459,101078,NW and SE England ,""
50460,101079,"Vienna (TÃ¼rkenschanzpark), Tyrol (Innsbruck, Hofgarten) ",""
50460,101081,"Around Brussels, Herenthout, Mechelen and Herentals ",""
50460,101083,Numerous localities ,""
50460,101085,"Athens-Aigion-Aigina, Thessaloniki ",""
50460,101087,"Athens-Aigion-Aigina, Thessaloniki ",""
50460,101088,Across country ,""
50460,101089,Across country ,""
50460,101090,"Catania, Siracusa, Palermo ",""
50460,101091,"Rotterdam, Amsterdam, The Hague ",""
50460,101092,Lisbon ,""
50460,101096,Barcelona ,""
50460,101098,"Istanbul, Ankara, Izmir, Thrace, Western Anatolia ",""
50460,101099,"NW, E. England and London Area ",""
50465,101107,Santo AndrÃ© Lagoon and at Tagus estuary ,""
50469,101114,All islands ,""
50471,101117,Antarctica ,""
50472,101119,Across country ,""
50473,101124,Penisola della Maddalena (Siracusa) ,""
50474,101127,Across country ,""
50474,101130,most major cities ,""
50475,101131,Gush Dan ,""
50476,101133,Gush Dan ,""
50477,101135,Extinct ,""
50477,101136,"various regions, but Establishedpopulations only in North, Central and partly South Moravia ",""
50477,101137,"Northern, central France ",""
50477,101141,SW. and E. England ,""
50478,101142,"Upper Austria, Lower Austria, Styria, Burgenland ",""
50478,101145,Prague Zoo ,""
50478,101147,Schleswig-Holstein among other areas ,""
50478,101149,near Tel Aiv Zoological gardens ,""
50478,101153,North and east Switzerland ,""
50478,101154,Askaniya Nova ,""
50478,101155,E. England ,""
50480,101158,Western and southern France ,""
50480,101159,3 breeding sites in Piemont ,""
50480,101160,"Botshol; Alphen aan de Rijn, Zuid-Holland  ",""
50480,101161,Coimbra ,""
50480,101163,Southwest England ,""
50484,101169,Gush Dan ,""
50444,100990,all areas ,""
50445,100996,Aare near Bern ,""
50446,101008,Across country ,""
50446,101009,Across country ,""
50446,101012,Across country ,""
50446,101013,Across country ,""
50446,101014,Across country ,""
50446,101036,Across country ,""
53193,114436,off Calais harbour; ,""
50527,114437,"North Sea and IJsselmeer, Veerse Meer, Westerschelde estuary and Lake Grevelingen; ",""
50527,114441,North Sea; ,""
50527,114442,Baltic Sea; ,""
53194,114445,North Sea; ,""
53194,114446,Baltic Sea; ,""
100013,114448,Baltic Sea; ,""
53196,114450,North Sea;adjacent waters including Rhine River; ,""
53197,114451,North Sea; ,""
53198,114452,"Wadden Sea, Lake Grevelingen and the Oosterschelde estuary; ",""
53199,114453,Oosterschelde estuary near Yerseke and in the brackish Lake Veerse Meer ; ,""
53200,114456,whole country; ,""
50485,114463,"near Yerseke, Oosterschelde estuary and at Tholen, Oosterschelde estuary; ",""
53206,114464,Southern Norway; ,""
53206,114465,North Sea; ,""
53213,114478,Baltic Sea; ,""
50117,114481,inland; ,""
53214,114484,Southern Norway; ,""
53214,114485,inland;Kiel Canal; ,""
50118,114488,"Ã˜stfold, Vest-Agder; ",""
50118,114489,widespread; ,""
50118,114490,widespread parasite in eels; ,""
50118,114491,widespread parasite in eels; ,""
50118,114493,North Sea;adjacent waters; ,""
50118,114494,inland; ,""
50118,114495,Baltic Sea;and adjacent waters; ,""
50486,114502,Yerseke and Sas van Goes in Oosterschelde estuary ; ,""
53218,114508,Also recorded in SÃ£o Miguel island; ,""
53220,114510,"Horta bay, Faial, Island; ",""
50120,114512,"near Yerseke, Oosterschelde estuary and at Grevelingen, Sloe harbour in the Westerschelde estuary ; ",""
50120,114514,SÃ£o Miguel island; ,""
50121,114521,North Sea; ,""
50122,114522,widespread; ,""
50122,114523,southern Norway; ,""
50122,114524,widespread; ,""
50122,114525,widespread; ,""
50122,114526,inland;widespread; ,""
50124,114534,Azores; ,""
50124,114536,"Island of Ouessant, Brittany; ",""
53225,114544,inland; ,""
53227,114548,"inland;Rivers Rhine, Main, Saar, Elbe (limnetic zone near Hamburg); ",""
495,114550,inland; ,""
495,114552,"inland;River Rhine and tributaries, lakes and ponds in western Germany; ",""
50127,114557,"various locations, often near power plant outlet; ",""
50127,114559,San Sebastian (SE Biscay Bay); ,""
53229,114560,Zuiderzee and Terschelling; ,""
50128,114563,Ã˜stfold to southern Nordland; ,""
50128,114567,widespread; ,""
50128,114568,widespread; ,""
50128,114570,"North Sea;Inner German Bight, mouths of estuaries, in Elbe estuary to oligohaline conditions near Hamburg; ",""
50128,114571,inland;Kiel Canal and inner Weser River from Minden to North Sea; ,""
50128,114572,Baltic Sea; ,""
53232,114577,inland; ,""
53238,114584,"Seudre estuary, St-Vaast Normandy; ",""
50132,114585,Oosterschelde estuary and Lake Grevelingen ; ,""
50487,114590,most of the coast; ,""
50487,114592,all along the Norwegian coast; ,""
50487,114594,"Also recorded in Graciosa, Flores and Corvo islands; ",""
50487,114596,"Kattegat, Great Belt, Limfjord, Skagerrack; ",""
50487,114599,North Sea;Wadden Sea; ,""
53241,114604,North Sea coasts and lake Grevelingen; ,""
53242,114605,unknown; ,""
53243,114606,Faial island; ,""
53244,114609,"inland;Rivers Danube, Mosel, Main, Rhine, Neckar, Elbe (oligohaline to adjacent limnetic zone); ",""
50531,114621,"Amsterdam, Nauerna, Schiermonnikoog, Ijmuiden, Terneuzen, Sluiskil, Walsoorden-Perkpolder, western Wadden Sea, Oosterschelde estuary ; ",""
50531,114622,"several records, also at power station near Doel on Westerschelde Estuary near Dutch border; ",""
50531,114623,"Tejo Estuary, Sado Estuary; ",""
50531,114627,North Sea; ,""
50139,114628,Hordaland; ,""
50139,114629,";;Oosterschelde estuary, Burghsluis en Neeltje Jans, Zierikzee (Zeelandbrug), Goesse Sas, Katse Hoek, Kattendijke, and 's-Gravenhoek, Westerschelde estuary ;",""
50139,114631,North Sea; ,""
53249,114633,Southern Norway; ,""
53249,114634,inland; ,""
53250,114636,inland; ,""
50308,114639,inland; ,""
53254,114642,"Horta bay, Faial, Island; ",""
53258,114646,Baltic Sea; ,""
53261,114649,Baltic Sea; ,""
53262,114650,"Nort Sea, Oosterschelde and Westerschelde eastuaries; ",""
53262,114651,North Sea; ,""
53263,114652,Swedish border to Stavanger; ,""
53264,114656,"Nort Sea, Oosterschelde and Westerschelde eastuaries; ",""
53264,114657,North Sea; ,""
50144,114660,"River Rhine, River Waal, River IJssel, River Lek, lake IJsselmeer, lake Markermeer and in connected canals, the Zaan and in the oligohaline parts of the Lower Rhine estuary, lakes Brielse Meer, Haringvliet, Hollands Diep, Biesbosch, and Zoommeer and in adjacent rivers and in the oligohaline Hartelkanaal near Rotterdam.; ",""
50144,114661,North Sea;mouth of Elbe estuary; ,""
50144,114662,"inland;Rivers Elbe (including mouth of Elbe estuary, i.e. mesohaline to upper limnetic zone), Rhine, Mosel, Danube; ",""
50144,114663,Baltic Sea;Odra River estuary; ,""
53265,114664,Zaragoza (near Atlantic coast); ,""
53266,114665,northern Norway; ,""
53272,114671,Now present also in Pico island; ,""
53273,114672,inland; ,""
53273,114673,Baltic Sea; ,""
50488,114677,"Along the S coast of Norway, but has also spread north, as far as North-TromsÃ¶ (ca. 70Â°N, 18-20Â°E).; ",""
50488,114689,Bay of Biscay; ,""
50488,114690,"Kattegat, Limfjord; ",""
50488,114692,North Sea; ,""
50148,114697,"Vestfold (ca. 59Â°N, 10Â°E) to North-TrÃ¸ndelag (ca. 65Â°N, 11Â°E) and north of Trondheim; ",""
50148,114698,North Sea coast and Lake Grevelingen; ,""
50148,114700,"N Kattegat down to Hirsholmarna 57.50Â°N, 10.62Â°E), E Jutland, Limfjord; ",""
50148,114703,North Sea; ,""
53278,114705,North Sea;adjacent waters including Weser and Rhine; ,""
53278,114706,"inland;Kiel Canal, Weser, Rhine, in Elbe in meso- to oligohaline zone; ",""
53278,114707,Baltic Sea; ,""
53279,114708,"western Wadden Sea near Den Helder, Wieringen and Texel; ",""
53280,114713,various records; ,""
53280,114714,"inland;Weser, Rhine, Main, Neckar Rivers; ",""
53281,114717,"inland;limnetic waters of Rhine, Elbe River; ",""
53281,114718,various records; ,""
50150,114719,"Stavanger, Bergen, Iddefjord; ",""
50150,114720,"in slightly brackish water in the provinces of Friesland, Noord- and Zuid-Holland, Noord-Brabant and Zeeland as well as in the Ijsselmeer - and also in freshwater; ",""
50150,114722,"widespread, including Limfjord, Randers Fjord, and Kattegat; ",""
50150,114723,"widespread, including Limfjord, Randers Fjord, and Kattegat; ",""
50150,114725,"North Sea;Inner German Bight, Elbe estuary to oligohaline conditions near Hamburg; ",""
50150,114726,"inland;Rivers Rhine, Weser, Elbe and Danube; ",""
50150,114727,"Baltic Sea;adjacent waters, Odra River estuary; ",""
50295,114729,inland; ,""
53285,114732,inland; ,""
53286,114734,inland; ,""
50533,114735,Skagerrak; ,""
50533,114739,North Sea; ,""
53287,114740,"Oslofjord, Skagerrak; ",""
53287,114741,North Sea; ,""
53287,114742,North Sea coasts; ,""
53287,114745,North Sea;all along the coast; ,""
53287,114746,Baltic Sea; ,""
22027,114747,North Sea; ,""
