idspecies,CN_name,CN_language,CN_sourceid
"364","Stor gjeldkarve","Norwegian",
"364","Stor Pimpinelle","Danish",
"367","Genévrier de Virginie","French",
"367","virginiai boróka","Hungarian",
"368","keleti tuja","Hungarian",
"368","Morgenländischer Lebensbaum","German",
"368","Orient-Lebensbaum","German",
"368","Thuya d'Orient","French",
"368","Tuia orientale","Italian",
"368","zeravec východní","Czech",
"380","Amerikanischer Lebensbaum","German",
"380","Cèdre blanc du Canada","French",
"380","Doftkörvel","Swedish",
"380","Finsk Hulsvøb","Danish",
"380","harilik elupu","Estonian",
"380","Idänkirveli ","Finnish",
"380","nyugati tuja","Hungarian",
"380","Parkkörvel, Guldkörvel","Swedish",
"380","Rietumu tuja","Latvian",
"380","Rotkörvel","Swedish",
"380","Rysskörvel","Swedish",
"380","Thuya du Canada","French",
"380","zerav západní","Czech",
"383","Almindelig Hulsvøb","Danish",
"383","Cèdre de l'Ouest","French",
"383","Giftkjeks ","Norwegian",
"383","Gulrot","Norwegian",
"383","Hårkörvel","Swedish",
"383","hiigel-elupuu","Estonian",
"383","Jordnøtt","Norwegian",
"383","Morot","Swedish",
"383","Myrkkykatko ","Finnish",
"383","Myrkkykirveli","Finnish",
"383","Nötkörvel","Swedish",
"383","Odört","Swedish",
"383","óriás tuja","Hungarian",
"383","Porkkana","Finnish",
"383","Riesen-Lebensbaum","German",
"383","Skarntyde ","Danish",
"383","Svimekjeks","Norwegian",
"383","Svinenød","Danish",
"383","Thuya géant","French",
"383","Vild Gulerod","Danish",
"383","Western Red-cedar","English",
"383","Żywotnik olbrzymi","Polish",
"394","abeto-insigne","Portuguese",
"397","abeto-branco","Portuguese",
"397","abeto-prateado","Portuguese",
"397","Eiropas baltegle","Latvian",
"397","euroopa nulg","Estonian",
"397","European Silver-fir","English",
"397","Gran","Swedish",
"397","Lärk","Swedish",
"397","Sibirisk Lärk","Swedish",
"397","Silvergran","Swedish",
"403","Balzama baltegle","Latvian",
"403","Balzaminis kėnis","Lithuanian",
"406","värdnulg","Estonian",
"408","Sapin de Céphalonie","French",
"408","Sapin de Grèce","French",
"409","Vienkräsas baltegle","Latvian",
"411","Fraseri nulg","Estonian",
"414","Giant Fir","English",
"414","Sapin de Vancouver","French",
"414","Sapin géant","French",
"423","abeto-do-cáucaso","Portuguese",
"423","Caucasian Fir","English",
"423","Kaukäza baltegle","Latvian",
"423","kaukázusi jegenyefenyő","Hungarian",
"423","Sapin de Nordmann","French",
"423","Sapin du Caucase","French",
"428","abeto-de-espanha","Portuguese",
"428","Sapin d'Andalousie","French",
"428","Sapin d'Espagne","French",
"430","Noble Fir","English",
"434","siberi nulg","Estonian",
"434","Sibirijas baltegle","Latvian",
"436","Atlas Cedar","English",
"436","Cèdre de l'Atlantique","French",
"436","Cèdre de l'Atlas","French",
"436","cedro-do-atlas","Portuguese",
"446","Cèdre de l'Himalaya","French",
"446","Cèdre sacré","French",
"446","cedro-deodara","Portuguese",
"446","cedro-dos-himalaias","Portuguese",
"446","Deodar","English",
"461","Cedar-of-Lebanon","English",
"461","Cèdre du Liban","French",
"491","Kleine vlotvaren","Dutch",
"491","Marsilée nageante","French",
"491","Salvinia nageante","French",
"491","Salvinie nageante","French",
"491","Schwimmfarn","German",
"495","Algenfarn","German",
"495","azola","Portuguese",
"495","azola americká","Czech",
"495","azola papra","Czech",
"495","azolla","Spanish",
"495","Azolla fausse-fougère","French",
"495","Azolla serchanit","Hebrew (western characters)",
"495","Großer Algenfarn","German",
"495","Grote kroosvaren","Dutch",
"495","nagylevelű moszatpáfrány","Hungarian",
"495","Šakotoji azolė","Lithuanian",
"495","water fern","English",
"500","Azolla du Mexique","French",
"500","Kleine kroosvaren","Dutch",
"500","Kleiner Algenfarn","German",
"507","Choina kanadyjska","Polish",
"507","Kanadinė cūga","Lithuanian",
"512","Hagestikle","Norwegian",
"512","Have-Mandstro","Danish",
"512","Kaukasianjättiputki","Finnish",
"512","Kjempebjønnkjeks","Norwegian",
"512","Kæmpe-Bjørneklo","Danish",
"512","Kæmpe-Mandstro ","Norwegian",
"512","Ryskmartorn","Swedish",
"512","Sagkjeks","Norwegian",
"512","Seglblad","Danish",
"512","Silvermartorn","Swedish",
"512","Sinipiikkiputki","Finnish",
"512","Sirppiputki","Finnish",
"512","Skärblad","Swedish",
"512","Tromsölöka","Swedish",
"512","Tsuga de Californie","French",
"512","Tsuga de l'Ouest","French",
"512","Western Hemlock-spruce","English",
"516","Coastal Redwood","English",
"516","Séquoia à feuilles d'If","French",
"516","Séquoia sempervirent","French",
"532","Éphédra élevé","French",
"533","Éphédra","French",
"535","Carolina Water-shield","English",
"538","Spatter-dock","English",
"540","least water lily","English",
"543","kerti tündérrózsa","Hungarian",
"549","Drete","Romanian",
"549","nílusi tündérrózsa","Hungarian",
"556","vörös tündérrózsa","Hungarian",
"558","érdes borzhínár","Hungarian",
"563","soft hornwort","English",
"565","Arbre aux lis","French",
"565","árvore-do-ponto","Portuguese",
"565","tulipeiro-da-virginia","Portuguese",
"565","Tulipier de Virginie","French",
"566","Magnolia à grandes fleurs","French",
"568","Magnolia à fleurs de Lis","French",
"574","Magnolia étoilé","French",
"583","Bay","English",
"583","Lorbeer","German",
"583","Rand","Maltese",
"587","loureiro-real","Portuguese",
"587","vinhático","Portuguese",
"590","Me'irit kitzrat-alim","Hebrew (western characters)",
"590","מ","Hebrew (Hebrew characters)",
"593","Birthwort","English",
"593","Etelännenätti ","Finnish",
"593","Gewöhnliche Osterluzei","German",
"593","Gul Sennep","Danish",
"593","Keltasinappi","Finnish",
"593","Klotfräne","Swedish",
"593","Kulekarse","Norwegian",
"593","Kvitsennep ","Norwegian",
"593","mežvīteņu aristolochija","Latvian",
"593","mežvīteņu aristolohija","Latvian",
"593","Paprastoji kartuolė","Lithuanian",
"593","Rikkanenätti","Finnish",
"593","Strandfräne","Swedish",
"593","Vägfräne","Swedish",
"593","Vegkarse ","Norwegian",
"593","Vej-Guldkarse","Danish",
"593","Vitsenap","Swedish",
"593","Østrigsk Guldkarse","Danish",
"596","Aristoloche-siphon","French",
"598","Smearwort","English",
"600","Aristoloche élevée","French",
"604","Ager-Sennep ","Danish",
"604","Åkersenap","Swedish",
"604","Åkersennep","Norwegian",
"604","Akurmustarður","Icelandic",
"604","Asarabacca","English",
"604","Blanksennep","Norwegian",
"604","Borstsenap","Swedish",
"604","Glat Vejsennep","Danish",
"604","Hamnsenap","Swedish",
"604","Karvapernaruoho ","Finnish",
"604","Kiiltopernaruoho ","Finnish",
"604","Kjempesennep","Norwegian",
"604","Rikkasinappi ","Finnish",
"604","Stivhåret Vejsennep ","Danish",
"604","Stridsennep","Norwegian",
"604","Ungarsk Vejsennep","Danish",
"604","Unkarinpernaruoho","Finnish",
"604","Vallsenap","Swedish",
"607","Coda di lucertola","Italian",
"608"," kalme","Latvian",
"608","Balinis ajeras","Lithuanian",
"608","Bastardsennep ","Danish",
"608","Blomsteriberis","Swedish",
"608","Gråsenap","Swedish",
"608","harilik kalamus","Estonian",
"608","Hilmiö ","Finnish",
"608","Kalmoes","Dutch",
"608","Kalmus","German",
"608","Katkerasaippo ","Finnish",
"608","Narresennep ","Norwegian",
"608","Obligeana","Romanian",
"608","orvosi kálmos","Hungarian",
"608","Prydsløyfe ","Norwegian",
"608","puškvorec obecný","Czech",
"608","Roseniberis","Swedish",
"608","Sløyfeblomst ","Danish",
"608","smaržiga kalme","Latvian",
"608","Sorgört","Swedish",
"608","sweet flag","English",
"608","Sweet-flag","English",
"608","Tatarak zwyczajny","Polish",
"619","Grasblatt-Kalmus","German",
"619","Slender Sweet-flag","English",
"627","Sagittaire à feuilles de Graminée","French",
"632","Breitblatt-Pfeilkraut","German",
"632","Breitblättriges Pfeilkraut","German",
"632","Duck-potato","English",
"632","Guldklubba, Guldkolv","Swedish",
"632","Hålrot","Swedish",
"632","Hjertebladet Slangerod","Danish",
"632","Lækjeholurt","Norwegian",
"632","Sagittaire à larges feuilles","French",
"632","Sagittaire obtuse","French",
"632","Sagittaria americana","Italian",
"632","šídlatka širolistá","Czech",
"632","Skunkkalla","Swedish",
"632","Vit skunkkalla","Swedish",
"653","Sagittaria a foglie ovate","Italian",
"655","Canadian arrowhead","English",
"657","Flèche-d'eau","French",
"657","Sagittaire","French",
"657","Sagittaire à feuilles en flèche","French",
"658","Narrow-leaved Arrowhead","English",
"658","úszó nyílfű","Hungarian",
"661","Aponogéton odorant","French",
"661","Cape pondweed","English",
"661","Cape-pondweed","English",
"664","Lente d'acqua delle risaie","Italian",
"664","Lentille-d'eau","French",
"667","Altar-lily","English",
"667","bigalhó","Portuguese",
"667","Calla","French",
"667","Calla","Italian",
"667","jarro-de-jardim","Portuguese",
"667","kala","Greek",
"667","Richarde","French",
"667","serpentina-brava","Spanish",
"673","American skunk cabbage","English",
"673","American Skunk-cabbage","English",
"673","Bitterkrassing","Swedish",
"673","Gatkrassing","Swedish",
"673","Have-Karse","Danish",
"673","Isokrassi","Finnish",
"673","Matkarse","Norwegian",
"673","Pihakrassi","Finnish",
"673","Rikkakrassi ","Finnish",
"673","Rundkarse ","Norwegian",
"673","Rundkrassing","Swedish",
"673","Smörgåskrasse","Swedish",
"673","Stinkende Karse","Danish",
"673","Strand-Karse","Danish",
"673","Strandkarse","Norwegian",
"673","Tevkarse","Norwegian",
"673","Vihanneskrassi","Finnish",
"677","Asian Skunk-cabbage","English",
"677","Finkefrø","Norwegian",
"677","Judaspengar","Norwegian",
"677","Judaspenge","Danish",
"677","Judaspenningar","Swedish",
"677","Korndådra","Swedish",
"677","Kuuruoho","Finnish",
"677","Ohraruoho","Finnish",
"677","Rundskulpe","Danish",
"677","Silkedodre","Norwegian",
"677","Strandkrassing","Swedish",
"677","Valkopielus","Finnish",
"677","Virginiakarse ","Norwegian",
"677","Virginiakrassing","Swedish",
"677","Virginiankrassi ","Finnish",
"677","Virginsk Karse ","Danish",
"681","Dwergkroos","Dutch",
"681","least duckweed","English",
"681","Lente d'acqua  ","Italian",
"681","Lentille d'eau minuscule","French",
"681","Winzige Wasserlinse","German",
"681","Zierliche Wasserlinse","German",
"695","Lenticchia d'acqua americana","Italian",
"696","Lenticule très petite","French",
"696","Lentille-d'eau très petite","French",
"697","great duckweed","English",
"697","Teichlinse","German",
"697","Vielwurzlige Teichlinse","German",
"702","Mousetailplant","English",
"706","Knopkroos","Dutch",
"706","Lenticule à turion","French",
"706","Lentille-d'eau","French",
"706","okřehek ","Czech",
"706","Rote Wasserlinse","German",
"710","közönséges vízidara","Hungarian",
"710","Wolffia","Italian",
"719","Italiaanse aronskelk","Dutch",
"730","Bankrassing","Swedish",
"730","Fältkrassing","Swedish",
"730","Farve-Vajd ","Danish",
"730","Forskelligbladet Karse","Danish",
"730","Kenttäkrassi","Finnish",
"730","Markkarse","Norwegian",
"730","Morsinko ","Finnish",
"730","Nurmikrassi","Finnish",
"730","Ratakrassi","Finnish",
"730","Salomons Lysestage","Danish",
"730","Tettkarse","Norwegian",
"730","Tætblomstret Karse","Danish",
"730","Vaid ","Norwegian",
"730","Vallkrassing","Swedish",
"730","Vejde","Swedish",
"730","Vollkarse","Norwegian",
"733","Hybrid Larch","English",
"733","Mélèze de Dunkeld","French",
"733","Mélèze hybride","French",
"748","Bergtall","Swedish",
"748","Contortatall","Swedish",
"748","Eiropas lapegle","Latvian",
"748","European Larch","English",
"748","Europinis maumedis","Lithuanian",
"748","Sitkagran","Swedish",
"748","Vitgran","Swedish",
"761","Japanese Larch","English",
"761","Japanische Lärche","German",
"761","Mélèze du Japon","French",
"761","Modrzew japoński","Polish",
"774","siberi lehis","Estonian",
"774","Sibirisk cembratall","Swedish",
"774","Tall","Swedish",
"774","Thuja","Swedish",
"775","Ädelcypress","Swedish",
"775","Jättehemlock","Swedish",
"775","Jättetuja","Swedish",
"775","Norway Spruce","English",
"775","Nutkacypress","Swedish",
"784","Épicéa d’Alcock","French",
"786","Baltoji eglė","Lithuanian",
"786","Bredpilblad","Swedish",
"786","Kanädas egle","Latvian",
"786","Kinesisk en","Swedish",
"786","Naverlönn","Swedish",
"786","Świerk biały","Polish",
"786","Tysklönn","Swedish",
"786","White Spruce","English",
"792","Épicéa de Sicile","French",
"794","Serbian Spruce","English",
"799","Épicéa du Caucase","French",
"801","Blau-Fichte","German",
"801","Épicéa du Colorado","French",
"801","Stech-Fichte","German",
"802","Backlök","Swedish",
"802","Épicéa de Sitka","French",
"802","Piplök","Swedish",
"802","Rysslök","Swedish",
"802","sitka kuusk","Estonian",
"802","Sitka Spruce","English",
"802","snödroppslök","Swedish",
"802","Świerk sitkajski","Polish",
"817","Banks-fenyő","Hungarian",
"817","Bankso pušis","Lithuanian",
"817","Pin de Banks","French",
"817","Sosna Banksa","Polish",
"831","Jordkastanie","Danish",
"831","Jordkastanj","Swedish",
"831","Knollkarve","Norwegian",
"831","Kummin","Swedish",
"831","Maakastanja","Finnish",
"831","Selleri","Finnish",
"831","Selleri","Norwegian",
"831","Selleri","Swedish",
"831","Stjärnflocka","Swedish",
"831","Vild Selleri","Danish",
"833","Almindelig Vintergæk","Danish",
"833","Lodgepole Pine","English",
"833","Lumikello","Finnish",
"833","Pin","French",
"833","Ramslök","Swedish",
"833","Sandlök","Swedish",
"833","Skogslök","Swedish",
"833","Snödroppe","Swedish",
"833","Snøklokke","Norwegian",
"838","Pin","French",
"840","Pin blanc","French",
"840","Pin blanc de Provence","French",
"840","Pin d'Alep","French",
"840","pinheiro-de-alepo","Spanish",
"840","pino carrasco","Spanish",
"840","prinjoli","Maltese",
"840","žnuber","Maltese",
"842","Oren cafrisai","Hebrew (western characters)",
"846","pinheiro-do-alepo","Portuguese",
"851","Dorothealilje","Danish",
"851","Dwarf Mountain-pine","English",
"851","Kalninė pušis","Lithuanian",
"851","Kalnu priede","Latvian",
"851","Keltanarsissi ","Finnish",
"851","Kevätkello","Finnish",
"851","Kirskål","Swedish",
"851","Klosterklokke","Norwegian",
"851","Påskelilje ","Danish",
"851","Påskelilje ","Norwegian",
"851","Påsklilja","Swedish",
"851","Pin","French",
"851","Pingstlillja","Swedish",
"851","Pinselilje","Danish",
"851","Pinselilje","Norwegian",
"851","Skvalderkål","Danish",
"851","Skvallerkål","Norwegian",
"851","Snöklocka","Swedish",
"851","Valkonarsissi","Finnish",
"851","Vuohenputki","Finnish",
"864","Austrian and Corsican Pines","English",
"864","borovica ","Czech",
"864","borovice ","Czech",
"864","feketefenyő","Hungarian",
"864","Juodoji pušis","Lithuanian",
"864","Pin noir d’Autriche","French",
"864","pinheiro-da-áustria","Portuguese",
"864","pinheiro-negro","Portuguese",
"864","Schwarz-Foehre","German",
"864","Schwarz-Kiefer","German",
"869","Corsican Pine","English",
"872","Austrian Pine","English",
"884","Macedonian Pine","English",
"886","Maritime Pine","English",
"886","pinheiro-bravo","Spanish",
"892","Pin parassol","French",
"892","Pin pignon","French",
"893","Western Yellow-pine","English",
"899","Monterey Pine","English",
"899","Pin de Monterey","French",
"899","pinheiro-de-monterey","Portuguese",
"899","pinheiro-insígne","Portuguese",
"899","pinheiro-insigne","Spanish",
"907","Pin","French",
"908","borovice vejmutovka","Czech",
"908","Pin de Weymouth","French",
"908","Pin du Lord","French",
"908","Pino di Weymouth","Italian",
"908","Pino strobo","Italian",
"908","Sosna wejmutka","Polish",
"908","Strobe","German",
"908","Weymouth Pine","English",
"908","Weymouth-Kiefer","German",
"908","Weymouths-Kiefer","German",
"914","Aitohukanputki","Finnish",
"914","Dansk körvel","Swedish",
"914","Grove den","Dutch",
"914","Gærde-Kørvel","Danish",
"914","Hagekjørvel","Norwegian",
"914","Have-Kørvel","Danish",
"914","Hundekjeks","Norwegian",
"914","Hundepersille","Danish",
"914","Hundepersille","Norwegian",
"914","Hundkäx","Swedish",
"914","Koiranputki","Finnish",
"914","Krokkjørvel","Norwegian",
"914","Maustekirveli","Finnish",
"914","Piikkikirveli","Finnish",
"914","Scots Pine","English",
"914","Taggkörvel","Swedish",
"914","Vild Kørvel","Danish",
"914","Vild persilja","Swedish",
"931","Bhutan Pine","English",
"931","Pin pleureur de l'Himalaya","French",
"943","abeto-de-douglas","Portuguese",
"943","Daglezja zielona","Polish",
"943","Didžioji pocūgė","Lithuanian",
"943","Douglas","French",
"943","Douglas Fir","English",
"943","Douglasfichte","German",
"943","Douglasie","German",
"943","douglaska Menziesova","Czech",
"943","douglaska tisolistá","Czech",
"943","Douglasspar","Dutch",
"943","Gewöhnliche Douglasie","German",
"943","oregoni duglászfenyő","Hungarian",
"943","Pin de l'Orégon","French",
"943","pinheiro-do-oregon","Portuguese",
"943","Sapin de Douglas","French",
"967","Åkerreddik","Norwegian",
"967","Flerårig Knopskulpe ","Danish",
"967","Flerårig stäppsenap","Swedish",
"967","Håret Knopskulpe","Danish",
"967","Hårig stäppsenap","Swedish",
"967","Kiddike","Danish",
"967","Kurttusaksanretikka","Finnish",
"967","Lodnevindbukk","Norwegian",
"967","Orientalisk stäppsenap","Swedish",
"967","Orientalsk Knopskulpe","Danish",
"967","Peltoretikka","Finnish",
"967","Russevindbukk","Norwegian",
"967","Sileäsaksanretikka","Finnish",
"967","Strandrättika","Swedish",
"969","Bog Arum","English",
"972","Għorgħas","Maltese",
"975","alcocas","Portuguese",
"975","colcas","Portuguese",
"975","inhame","Portuguese",
"975","inhame-da-costa","Portuguese",
"975","inhame-de-enxerto","Portuguese",
"975","inhame-do-egipto","Portuguese",
"975","inhame-dos-açores","Portuguese",
"975","taro","Portuguese",
"978","Dreizählige Pinellie","German",
"982","Gedrehter Wasserkelch","German",
"988","alface-de-água","Portuguese",
"988","babelka řezanovitá","Czech",
"988","kagylótutaj","Hungarian",
"991","Arum Petit-dragon","French",
"991","Dragon Arum","English",
"991","Dragonne Serpentaire","French",
"991","língua-de-dragão","Portuguese",
"991","Serpentaire","French",
"991","serpentária","Portuguese",
"991","serpentina","Portuguese",
"1011","Erba coltella delle risaie","Italian",
"1013","Naïade","French",
"1014","Naïade","French",
"1014","Ranocchina delle risaie","Italian",
"1020","Naïade Graminée","French",
"1020","Ranocchina tropicale","Italian",
"1022","Nidat guadalup","Hebrew (western characters)",
"1022","נידת גו","Hebrew (Hebrew characters)",
"1027","Grande Naïade","French",
"1027","Naïade marine","French",
"1031","Dichte Wasserpest","German",
"1031","Égéria","French",
"1031","Großblüten-Wasserpest","German",
"1031","large flowered waterweed","English",
"1031","Large-flowered Waterweed","English",
"1031","Peste d'acqua maggiore","Italian",
"1031","sűrűlevelű átokhínár","Hungarian",
"1042","Aloès d'eau","French",
"1042","Faux Aloès","French",
"1042","Stratiotès faux Aloès","French",
"1042","water soldier","English",
"1044","Argentinische Wasserpest","German",
"1044","Élodée à feuilles allongées","French",
"1044","Ernst-Wasserpest","German",
"1044","South American Waterweed","English",
"1052","American waterweed","English",
"1052","Brede waterpest","Dutch",
"1052","broza del Canadá","Spanish",
"1052","Canadian waterweed","English",
"1052","Canadian waterweed/pondweed","English",
"1052","elodea","Portuguese",
"1052","Elodea canadit","Hebrew (western characters)",
"1052","Élodée du Canada","French",
"1052","elodeja","Latvian",
"1052","espiga-de-água","Portuguese",
"1052","estrume-novo","Portuguese",
"1052","Gemeine Wasserpest","German",
"1052","Kan","Latvian",
"1052","kanadai átokhínár","Hungarian",
"1052","Kanadinė elodėja","Lithuanian",
"1052","Kanadische Wasserpest","German",
"1052","oreja de gato","Spanish",
"1052","Peste d'acqua comune","Italian",
"1052","peste de agua","Spanish",
"1052","Peste d’aqua comune","Italian",
"1052","vodní mor kanadský","Czech",
"1091","aprólevelű átokhínár","Hungarian",
"1091","Élodée à feuilles étroites","French",
"1091","Elodée de Nuttall","French",
"1091","Nuttall's Waterweed","English",
"1091","Nuttall's waterweed/pondweed","English",
"1091","Nuttall-Wasserpest","German",
"1091","Nuttalls Wasserpest","German",
"1091","Nuttall’s pondweed","English",
"1091","Peste d'acqua di Nuttall","Italian",
"1091","Peste d’acqua di Nuttall","Italian",
"1091","Schmalblättrige Wasserpest","German",
"1091","Smalle waterpest","Dutch",
"1091","vodní mor americký","Czech",
"1091","Western waterweed","English",
"1116","közönséges csavarhínár","Hungarian",
"1116","óriás csavarhínár","Hungarian",
"1116","Tapegrass","English",
"1116","Vallisneria","Dutch",
"1116","Wasserschraube","German",
"1116","zákruticha šroubovitá","Czech",
"1122","Grundnessel","German",
"1142","curly waterweed","English",
"1142","Élodée crépue","French",
"1142","grand Lagarosiphon","French",
"1142","Große Wechselblatt-Wasserpest","German",
"1142","Peste d'acqua arcuata","Italian",
"1142","Schmalrohr","German",
"1142","Wassergirlande","German",
"1153","békaszőlőfaj","Hungarian",
"1158","American Pondweed","English",
"1174","érdes szárcsagyökér","Hungarian",
"1187","Dog's-tooth-violet","English",
"1187","kandík psí zub","Czech",
"1197","császárkorona","Hungarian",
"1198","Gewöhnliche Schachblume","German",
"1198","Kiebitzei","German",
"1198","řeb","Czech",
"1198","rūtain","Latvian",
"1201","Acker-Gelbstern","German",
"1201","Dirvinė vištapienė","Lithuanian",
"1201","křivatec rolní","Czech",
"1211","punakas kuldtäht","Estonian",
"1214","ida-kuldtäht","Estonian",
"1223","Raudonoji lelija","Lithuanian",
"1223","tuliliilia","Estonian",
"1228","açucena","Portuguese",
"1228","cajado-de-são-josé","Portuguese",
"1228","Lis blanc","French",
"1231","Tiger-Lilie","German",
"1235","Martagon Lily","English",
"1235","martagonlilija","Latvian",
"1241","Pyrenean Lily","English",
"1245","Tulipano occhio di sole","Italian",
"1245","Tulipe d'Agen","French",
"1245","Tulipe Oeil-de-soleil","French",
"1248","marquezinhas","Portuguese",
"1248","tulipa","Portuguese",
"1248","Tulipe de L'Écluse","French",
"1248","Tulipe de Perse","French",
"1248","Tulipe-radis","French",
"1253","Darželinė tulpė","Lithuanian",
"1253","Garden Tulip","English",
"1253","Garten-Tulpe","German",
"1253","kerti tulipán","Hungarian",
"1253","Tulipano","Italian",
"1253","Tulipe","French",
"1271","tulipa-dos-vinhedos","Portuguese",
"1271","Tulipe précoce","French",
"1276","Cretan Tulip","English",
"1280","Bostulp","Dutch",
"1280","erdei tulipán","Hungarian",
"1280","Girinė tulpė","Lithuanian",
"1280","metstulp","Estonian",
"1280","meža tulpe","Latvian",
"1280","tulipán planý","Czech",
"1280","Wild Tulip","English",
"1280","Wilde Tulpe","German",
"1287","Rudeninis vėlyvis","Lithuanian",
"1287","rudens vēlziede","Latvian",
"1302","Peruvian Lily","English",
"1307","Ail faux Poireau","French",
"1307","Carambole","French",
"1307","francia hagyma","Hungarian",
"1307","Perlzwiebel","German",
"1307","Poireau d'été","French",
"1307","Poireau du Levant","French",
"1307","Porree","German",
