idspecies,ideunis,sourceid,habitat,level,belongsto,notes
234,A1,,Littoral rock and other hard substrata,2,A,
234,A3,,Infralittoral rock and other hard substrata,2,A,
234,A4,,Circalittoral rock and other hard substrata,2,A,
235,A3,,Infralittoral rock and other hard substrata,2,A,
235,A4,,Circalittoral rock and other hard substrata,2,A,
235,C,273,Inland surface water habitats,1,,
235,J1,427,"Buildings of cities, towns and villages",2,J,
239,C,,Inland surface water habitats,1,,
239,C2,,Surface running waters,2,C,
239,D,,"Mire, bog and fen habitats",1,,
239,J,363,"Constructed, industrial and other artificial habitats",1,,
244,C1,,Surface standing waters,2,C,
244,J2,107,Low density buildings,2,J,walls
253,11,,Brackish pelagic,2,AA,
253,A,,Marine habitats,1,,
264,A,,Marine habitats,1,,
273,A,,Marine habitats,1,,
280,C,,Inland surface water habitats,1,,
280,C1,,Surface standing waters,2,C,
280,G,329,Woodland and forest habitats and other wooded land,1,,
292,C,,Inland surface water habitats,1,,
292,C3,,Littoral zone of inland surface waterbodies,2,C,
304,A,,Marine habitats,1,,
304,G,336,Woodland and forest habitats and other wooded land,1,,
306,9,,Brackish sublittoral soft,2,AA,
306,C,,Inland surface water habitats,1,,
307,9,,Brackish sublittoral soft,2,AA,
307,C,,Inland surface water habitats,1,,
315,G,329,Woodland and forest habitats and other wooded land,1,,
316,B,500,Coastal habitats,1,,
316,F,476,"Heathland, scrub and tundra habitats",1,,
316,F9,500,Riverine and fen scrubs,2,F,
316,G,363,Woodland and forest habitats and other wooded land,1,,
316,G4,107,Mixed deciduous and coniferous woodland,2,G,anthropogenic woodlands
316,I2,427,Cultivated areas of gardens and parks,2,I,
316,J,500,"Constructed, industrial and other artificial habitats",1,,
316,J4,427,Transport networks and other constructed hard-surfaced areas,2,J,
316,X25,500,Domestic gardens of villages and urban peripheries,2,X,
327,B,500,Coastal habitats,1,,
327,E,500,Grassland and tall forb habitats,1,,
327,G,500,Woodland and forest habitats and other wooded land,1,,
327,G1,500,Broadleaved deciduous woodland,2,G,
327,I2,500,Cultivated areas of gardens and parks,2,I,
327,J,500,"Constructed, industrial and other artificial habitats",1,,
327,X25,500,Domestic gardens of villages and urban peripheries,2,X,
327,X9,500,Pasture woods (with a tree layer overlying pasture),2,X,
331,C,,Inland surface water habitats,1,,
331,C2,,Surface running waters,2,C,
331,C3,,Littoral zone of inland surface waterbodies,2,C,
335,B,,Coastal habitats,1,,
335,B,,Coastal habitats,1,,
335,C,,Inland surface water habitats,1,,
335,C,,Inland surface water habitats,1,,
335,D,,"Mire, bog and fen habitats",1,,
340,J1,329,"Buildings of cities, towns and villages",2,J,
342,G,336,Woodland and forest habitats and other wooded land,1,,
342,G4,107,Mixed deciduous and coniferous woodland,2,G,ancient anthropogenic woodlands
342,J1,329,"Buildings of cities, towns and villages",2,J,
348,B,107,Coastal habitats,1,,
348,G,336,Woodland and forest habitats and other wooded land,1,,
348,I2,427,Cultivated areas of gardens and parks,2,I,
348,J1,329,"Buildings of cities, towns and villages",2,J,
348,J6,427,Waste deposits,2,J,
352,G,336,Woodland and forest habitats and other wooded land,1,,
352,G3,107,Coniferous woodland,2,G,
352,J1,329,"Buildings of cities, towns and villages",2,J,
352,J4,197,Transport networks and other constructed hard-surfaced areas,2,J,roadsides sprayed with herbicides
364,A1,500,Littoral rock and other hard substrata,2,A,
364,B,500,Coastal habitats,1,,
364,E,500,Grassland and tall forb habitats,1,,
364,F,517,"Heathland, scrub and tundra habitats",1,,
364,J,500,"Constructed, industrial and other artificial habitats",1,,
364,X25,517,Domestic gardens of villages and urban peripheries,2,X,
364,X9,517,Pasture woods (with a tree layer overlying pasture),2,X,
367,A,,Marine habitats,1,,
367,A3,,Infralittoral rock and other hard substrata,2,A,
367,A4,,Circalittoral rock and other hard substrata,2,A,
368,E1,412,Dry grasslands,2,E,
368,F3,412,Temperate and mediterranean-montane scrub,2,F,
368,G,162,Woodland and forest habitats and other wooded land,1,,
368,H3,412,"Inland cliffs, rock pavements and outcrops",2,H,
368,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
368,J,162,"Constructed, industrial and other artificial habitats",1,,
368,J1,329,"Buildings of cities, towns and villages",2,J,
378,F6,379,Garrigue,2,F,
378,G1,379,Broadleaved deciduous woodland,2,G,
378,J4,379,Transport networks and other constructed hard-surfaced areas,2,J,
378,X24,379,Domestic gardens of city and town centres,2,X,
378,X25,379,Domestic gardens of villages and urban peripheries,2,X,
380,E,500,Grassland and tall forb habitats,1,,
380,G,361,Woodland and forest habitats and other wooded land,1,,
380,H,363,Inland unvegetated or sparsely vegetated habitats,1,,
380,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed lands
380,J,500,"Constructed, industrial and other artificial habitats",1,,
380,X25,500,Domestic gardens of villages and urban peripheries,2,X,
383,B,500,Coastal habitats,1,,
383,E,500,Grassland and tall forb habitats,1,,
383,G,363,Woodland and forest habitats and other wooded land,1,,
383,G1,500,Broadleaved deciduous woodland,2,G,
383,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
383,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed lands
383,J,500,"Constructed, industrial and other artificial habitats",1,,
383,X25,500,Domestic gardens of villages and urban peripheries,2,X,
394,A,,Marine habitats,1,,
394,G4,107,Mixed deciduous and coniferous woodland,2,G,ancient anthropogenic woodlands
397,G,498,Woodland and forest habitats and other wooded land,1,,
397,G3,496,Coniferous woodland,2,G,
397,G4,496,Mixed deciduous and coniferous woodland,2,G,
397,I,496,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
397,I2,498,Cultivated areas of gardens and parks,2,I,
403,G,747,Woodland and forest habitats and other wooded land,1,,
403,G4,765,Mixed deciduous and coniferous woodland,2,G,
403,I1,745,Arable land and market gardens,2,I,
406,C,,Inland surface water habitats,1,,
406,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed lands
406,J,446,"Constructed, industrial and other artificial habitats",1,,Disturbed lands
409,G3,765,Coniferous woodland,2,G,
409,G4,765,Mixed deciduous and coniferous woodland,2,G,
409,X,765,Miscellaneous,1,,
409,X25,548,Domestic gardens of villages and urban peripheries,2,X,
411,G4,446,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
423,A,,Marine habitats,1,,
423,G4,107,Mixed deciduous and coniferous woodland,2,G,ancient anthropogenic woodlands
428,G4,107,Mixed deciduous and coniferous woodland,2,G,ancient anthropogenic woodlands
434,G4,446,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
436,A,,Marine habitats,1,,
436,G,329,Woodland and forest habitats and other wooded land,1,,
446,11,,Brackish pelagic,2,AA,
446,C1,,Surface standing waters,2,C,
446,C2,,Surface running waters,2,C,
446,J1,160,"Buildings of cities, towns and villages",2,J,
461,J1,329,"Buildings of cities, towns and villages",2,J,
471,C1,,Surface standing waters,2,C,
473,C1,,Surface standing waters,2,C,
485,A,,Marine habitats,1,,
485,C,363,Inland surface water habitats,1,,
485,D,162,"Mire, bog and fen habitats",1,,
491,A,,Marine habitats,1,,
491,C,363,Inland surface water habitats,1,,
491,J1,273,"Buildings of cities, towns and villages",2,J,
495,C,329,Inland surface water habitats,1,,
495,C1,,Surface standing waters,2,C,lentic
495,C1,64,Surface standing waters,2,C,
495,C12,,Lentic benthic,3,C1,lentic benthic
495,C2,427,Surface running waters,2,C,"lentic/lotic, floating"
495,C3,64,Littoral zone of inland surface waterbodies,2,C,
495,D,329,"Mire, bog and fen habitats",1,,
495,D5,412,"Sedge and reedbeds, normally without free-standing water",2,D,
495,I1,107,Arable land and market gardens,2,I,rice fields
495,J1,161,"Buildings of cities, towns and villages",2,J,
500,C2,23,Surface running waters,2,C,surfaces of canals and streams
507,G4,234,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
507,J,246,"Constructed, industrial and other artificial habitats",1,,Urban areas
512,E,500,Grassland and tall forb habitats,1,,
512,J,500,"Constructed, industrial and other artificial habitats",1,,
512,X25,500,Domestic gardens of villages and urban peripheries,2,X,
514,C,,Inland surface water habitats,1,,
525,A,,Marine habitats,1,,
525,A5,,Sublittoral sediment,2,A,
528,G,182,Woodland and forest habitats and other wooded land,1,,"Woodlands, forest edges and cuttings"
540,C1,,Surface standing waters,2,C,lentic
540,C1,427,Surface standing waters,2,C,mountain lake
547,11,,Brackish pelagic,2,AA,
547,C1,182,Surface standing waters,2,C,Aquatic habitats and springs
549,A,,Marine habitats,1,,
549,X3,,Brackish coastal lagoons,2,AA,
553,A,,Marine habitats,1,,
553,C,329,Inland surface water habitats,1,,
556,A,,Marine habitats,1,,
557,A,,Marine habitats,1,,
563,C,,Inland surface water habitats,1,,
563,C1,429,Surface standing waters,2,C,lenthic benthic
563,C12,,Lentic benthic,3,C1,lentic benthic
563,C3,,Littoral zone of inland surface waterbodies,2,C,
565,G4,107,Mixed deciduous and coniferous woodland,2,G,ancient anthropogenic woodlands
581,X3,,Brackish coastal lagoons,2,AA,
582,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
583,A,,Marine habitats,1,,
583,F9,427,Riverine and fen scrubs,2,F,
583,G,76,Woodland and forest habitats and other wooded land,1,,Forest
587,G2,107,Broadleaved evergreen woodland,2,G,
590,J4,197,Transport networks and other constructed hard-surfaced areas,2,J,roadsides sprayed with herbicides
593,B,500,Coastal habitats,1,,
593,C1,500,Surface standing waters,2,C,
593,E,328,Grassland and tall forb habitats,1,,
593,F,500,"Heathland, scrub and tundra habitats",1,,
593,G1,328,Broadleaved deciduous woodland,2,G,
593,G5,328,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
593,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
593,I2,500,Cultivated areas of gardens and parks,2,I,
593,J,500,"Constructed, industrial and other artificial habitats",1,,
593,X25,793,Domestic gardens of villages and urban peripheries,2,X,
598,A,,Marine habitats,1,,
600,FA,107,Hedgerows,2,F,hedges
600,K,107,,,,epiphyte
600,X23,107,Large non-domestic gardens,2,X,
600,X24,107,Domestic gardens of city and town centres,2,X,
600,X25,107,Domestic gardens of villages and urban peripheries,2,X,
604,A,,Marine habitats,1,,
604,B,496,Coastal habitats,1,,
604,I,474,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
604,J,496,"Constructed, industrial and other artificial habitats",1,,
607,C,162,Inland surface water habitats,1,,
608,A,,Marine habitats,1,,
608,C,76,Inland surface water habitats,1,,Aquatic
608,C1,,Surface standing waters,2,C,lentic
608,C1,328,Surface standing waters,2,C,
608,C3,744,Littoral zone of inland surface waterbodies,2,C,
608,D,744,"Mire, bog and fen habitats",1,,
608,D2,412,"Valley mires, poor fens and transition mires",2,D,
608,D5,79,"Sedge and reedbeds, normally without free-standing water",2,D,
608,D6,412,Inland saline and brackish marshes and reedbeds,2,D,
608,F,765,"Heathland, scrub and tundra habitats",1,,
608,F9,756,Riverine and fen scrubs,2,F,
608,J,500,"Constructed, industrial and other artificial habitats",1,,
619,C,363,Inland surface water habitats,1,,
622,C,333,Inland surface water habitats,1,,"ponds, ditches, stream banks up to 300 m a.s.l."
623,A,,Marine habitats,1,,
624,C1,,Surface standing waters,2,C,lentic
624,C3,427,Littoral zone of inland surface waterbodies,2,C,lakeside
625,C,,Inland surface water habitats,1,,
629,C,,Inland surface water habitats,1,,
629,C2,,Surface running waters,2,C,
629,D,,"Mire, bog and fen habitats",1,,
632,A,,Marine habitats,1,,
632,A1,500,Littoral rock and other hard substrata,2,A,
632,C,363,Inland surface water habitats,1,,
632,C1,412,Surface standing waters,2,C,
632,C2,500,Surface running waters,2,C,
632,C3,500,Littoral zone of inland surface waterbodies,2,C,
632,D,500,"Mire, bog and fen habitats",1,,
632,D5,412,"Sedge and reedbeds, normally without free-standing water",2,D,
632,I2,500,Cultivated areas of gardens and parks,2,I,
653,C,162,Inland surface water habitats,1,,
655,C1,,Surface standing waters,2,C,lenthic
655,C1,427,Surface standing waters,2,C,lenthic benthic
655,C3,,Littoral zone of inland surface waterbodies,2,C,
658,C,,Inland surface water habitats,1,,
658,D,,"Mire, bog and fen habitats",1,,
661,C1,427,Surface standing waters,2,C,lenthic benthic
661,C12,,Lentic benthic,3,C1,lenthic benthic
664,A,,Marine habitats,1,,
664,I,162,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
667,C,336,Inland surface water habitats,1,,
667,C3,340,Littoral zone of inland surface waterbodies,2,C,the rivulet course
667,D,273,"Mire, bog and fen habitats",1,,
667,E,333,Grassland and tall forb habitats,1,,"pastures, waste places, ravines, Pittosporum forest."
667,E3,64,Seasonally wet and wet grasslands,2,E,
667,E5,317,Woodland fringes and clearings and tall forb stands,2,E,ruderal places
667,F9,64,Riverine and fen scrubs,2,F,
667,FA,427,Hedgerows,2,F,
667,G4,107,Mixed deciduous and coniferous woodland,2,G,Ancient anthropogenic woodlands
667,I1,317,Arable land and market gardens,2,I,
667,I2,427,Cultivated areas of gardens and parks,2,I,
667,J,162,"Constructed, industrial and other artificial habitats",1,,
667,J1,317,"Buildings of cities, towns and villages",2,J,walls
667,J4,317,Transport networks and other constructed hard-surfaced areas,2,J,roadsides
667,J6,107,Waste deposits,2,J,
667,X21,340,Archaeological sites,2,X,around the castle ruins
673,B,500,Coastal habitats,1,,
673,C1,,Surface standing waters,2,C,"lentic, lotic"
673,C2,,Surface running waters,2,C,"lentic, lotic"
673,C3,427,Littoral zone of inland surface waterbodies,2,C,"lakesides, wetlands"
673,J,500,"Constructed, industrial and other artificial habitats",1,,
673,X25,500,Domestic gardens of villages and urban peripheries,2,X,
676,A,,Marine habitats,1,,
677,A,500,Marine habitats,1,,
677,B,500,Coastal habitats,1,,
677,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
677,J,500,"Constructed, industrial and other artificial habitats",1,,
677,X25,500,Domestic gardens of villages and urban peripheries,2,X,
680,A,,Marine habitats,1,,
681,C,76,Inland surface water habitats,1,,Aquatic
681,C1,,Surface standing waters,2,C,lentic
681,C1,427,Surface standing waters,2,C,"ponds, canals, lakes"
681,D,162,"Mire, bog and fen habitats",1,,
681,J,329,"Constructed, industrial and other artificial habitats",1,,
695,D,162,"Mire, bog and fen habitats",1,,
697,A,,Marine habitats,1,,
697,C1,428,Surface standing waters,2,C,"ponds, canals, floating"
697,C2,361,Surface running waters,2,C,
706,C,,Inland surface water habitats,1,,
706,C1,,Surface standing waters,2,C,lentic
706,C1,412,Surface standing waters,2,C,
710,C,162,Inland surface water habitats,1,,
710,D,162,"Mire, bog and fen habitats",1,,
717,A,,Marine habitats,1,,
717,J,329,"Constructed, industrial and other artificial habitats",1,,
719,A,,Marine habitats,1,,
719,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
723,C,,Inland surface water habitats,1,,
723,C3,,Littoral zone of inland surface waterbodies,2,C,
723,J,427,"Constructed, industrial and other artificial habitats",1,,
730,B,500,Coastal habitats,1,,
730,E,500,Grassland and tall forb habitats,1,,
730,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
730,I1,500,Arable land and market gardens,2,I,
730,J,500,"Constructed, industrial and other artificial habitats",1,,
733,A,,Marine habitats,1,,
733,G,329,Woodland and forest habitats and other wooded land,1,,
748,FA,427,Hedgerows,2,F,
748,G,500,Woodland and forest habitats and other wooded land,1,,
748,G3,500,Coniferous woodland,2,G,
748,G4,234,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
748,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
748,I2,246,Cultivated areas of gardens and parks,2,I,Disturbed areas
748,J,246,"Constructed, industrial and other artificial habitats",1,,Disturbed areas
761,G,329,Woodland and forest habitats and other wooded land,1,,
774,B1,500,Coastal dunes and sandy shores,2,B,
774,G,500,Woodland and forest habitats and other wooded land,1,,
774,G4,446,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
774,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
774,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
774,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
775,G,488,Woodland and forest habitats and other wooded land,1,,
775,I,488,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
775,I2,466,Cultivated areas of gardens and parks,2,I,
784,7,,Brackish littoral soft,2,AA,
786,B,500,Coastal habitats,1,,
786,F9,500,Riverine and fen scrubs,2,F,
786,G1,500,Broadleaved deciduous woodland,2,G,
786,G4,500,Mixed deciduous and coniferous woodland,2,G,
786,I2,500,Cultivated areas of gardens and parks,2,I,
792,C,,Inland surface water habitats,1,,
792,C3,,Littoral zone of inland surface waterbodies,2,C,
794,C,,Inland surface water habitats,1,,
794,C3,,Littoral zone of inland surface waterbodies,2,C,
794,G,329,Woodland and forest habitats and other wooded land,1,,
799,C,,Inland surface water habitats,1,,
801,7,,Brackish littoral soft,2,AA,
801,C,,Inland surface water habitats,1,,
802,D1,427,Raised and blanket bogs,2,D,
802,E,500,Grassland and tall forb habitats,1,,
802,E1,500,Dry grasslands,2,E,
802,FA,500,Hedgerows,2,F,
802,G,427,Woodland and forest habitats and other wooded land,1,,
802,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed lands
802,J,500,"Constructed, industrial and other artificial habitats",1,,
802,J3,427,Extractive industrial sites,2,J,
817,G4,234,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
825,B,336,Coastal habitats,1,,
825,G,142,Woodland and forest habitats and other wooded land,1,,
831,A,,Marine habitats,1,,
831,F9,500,Riverine and fen scrubs,2,F,
831,I,487,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
831,I1,500,Arable land and market gardens,2,I,
831,J,500,"Constructed, industrial and other artificial habitats",1,,
831,X25,500,Domestic gardens of villages and urban peripheries,2,X,
833,B,500,Coastal habitats,1,,
833,D,427,"Mire, bog and fen habitats",1,,
833,E,500,Grassland and tall forb habitats,1,,
833,G,500,Woodland and forest habitats and other wooded land,1,,
